fill	x	y	xmin	xmax	ymin	ymax
#E7CBC7	30	24	5	55	-1	49
#FDFCFE	80	24	55	105	-1	49
#C4BCDF	80	74	55	105	49	99
#E2DEEF	130	74	105	155	49	99
#C7C0E0	130	124	105	155	99	149
#DFDAED	180	124	155	205	99	149
#F2E1DF	180	174	155	205	149	199
#F1EFF7	230	174	205	255	149	199
#D6D1E9	230	224	205	255	199	249
#EDEBF6	280	224	255	305	199	249
#F1EFF8	280	274	255	305	249	299
#EFEDF7	330	274	305	355	249	299
#CAC4E2	330	324	305	355	299	349
#EEEBF6	380	324	355	405	299	349
#D4CFE8	380	374	355	405	349	399
#C3BBDE	430	374	405	455	349	399
#E9E6F3	430	424	405	455	399	449
#F6F5FA	480	424	455	505	399	449
#F1EFF8	480	474	455	505	449	499
#A79ECF	530	474	505	555	449	499
#9F95CB	530	524	505	555	499	549
#655CAC	580	524	555	605	499	549
#8C81C0	580	574	555	605	549	599
#8B80C0	630	574	605	655	549	599
#6058A9	630	624	605	655	599	649
#EDEBF5	680	624	655	705	599	649
#A85C55	680	674	655	705	649	699
#BAB2DA	730	674	705	755	649	699
#8D82C1	730	724	705	755	699	749
#A399CD	780	724	755	805	699	749
#F3F1F8	780	774	755	805	749	799
#EBE8F4	830	774	805	855	749	799
#F2E2E0	830	824	805	855	799	849
#EED8D6	880	824	855	905	799	849
#756AB4	880	874	855	905	849	899
#EEECF6	930	874	905	955	849	899
#E0BCB8	930	924	905	955	899	949
#8C81C0	980	924	955	1005	899	949
#882B2A	980	974	955	1005	949	999
#E3C3BF	1030	974	1005	1055	949	999
#B9B1D9	130	24	105	155	-1	49
#D4CFE8	180	74	155	205	49	99
#EDEBF5	230	124	205	255	99	149
#DEDAED	280	174	255	305	149	199
#FAF3F2	330	224	305	355	199	249
#FEFBFB	380	274	355	405	249	299
#E3DFF0	430	324	405	455	299	349
#CEC8E4	480	374	455	505	349	399
#E6E3F2	530	424	505	555	399	449
#9D92C9	580	474	555	605	449	499
#867CBD	630	524	605	655	499	549
#C5BEDF	680	574	655	705	549	599
#E4C5C1	730	624	705	755	599	649
#A69CCE	780	674	755	805	649	699
#F5E9E7	830	724	805	855	699	749
#FBF5F4	880	774	855	905	749	799
#DDD8ED	930	824	905	955	799	849
#E3DFF0	980	874	955	1005	849	899
#D2CCE7	1030	924	1005	1055	899	949
#F6EAE9	180	24	155	205	-1	49
#ECEAF5	280	124	255	305	99	149
#F1EEF7	380	224	355	405	199	249
#EBE9F4	480	324	455	505	299	349
#CFC9E5	580	424	555	605	399	449
#AFA6D4	680	524	655	705	499	549
#E0DBEE	780	624	755	805	599	649
#E0DCEE	230	74	205	255	49	99
#FCF7F6	330	174	305	355	149	199
#E6C9C6	430	274	405	455	249	299
#F7EDEC	530	374	505	555	349	399
#F1DFDD	730	574	705	755	549	599
#D6D0E9	880	724	855	905	699	749
#EBD2CF	930	774	905	955	749	799
#FEFCFC	980	824	955	1005	799	849
#B7AED8	630	474	605	655	449	499
#D7D2E9	830	674	805	855	649	699
#E4E0F0	1030	874	1005	1055	849	899
#B26C64	1080	924	1055	1105	899	949
#E5E1F1	230	24	205	255	-1	49
#F4F2F9	280	74	255	305	49	99
#FDFAFA	330	124	305	355	99	149
#FEFDFD	380	174	355	405	149	199
#E2C0BB	430	224	405	455	199	249
#EEDAD7	480	274	455	505	249	299
#EFEDF6	580	374	555	605	349	399
#DCD7EC	630	424	605	655	399	449
#DBD6EB	680	474	655	705	449	499
#FEFEFF	730	524	705	755	499	549
#DCB6B1	780	574	755	805	549	599
#C5BDDF	830	624	805	855	599	649
#ECD6D3	930	724	905	955	699	749
#CEC8E4	980	774	955	1005	749	799
#FAF4F3	1030	824	1005	1055	799	849
#E2DEEF	1080	874	1055	1105	849	899
#EFDBD8	530	324	505	555	299	349
#DDB6B2	880	674	855	905	649	699
#EED9D6	280	24	255	305	-1	49
#DDD9ED	380	124	355	405	99	149
#EFDCD9	480	224	455	505	199	249
#E0DCEE	580	324	555	605	299	349
#D2CCE7	680	424	655	705	399	449
#EBE8F4	780	524	755	805	499	549
#7167B2	880	624	855	905	599	649
#BDB5DB	1080	824	1055	1105	799	849
#E9E6F3	330	74	305	355	49	99
#C8C1E1	430	174	405	455	149	199
#F2E3E0	530	274	505	555	249	299
#ECEAF5	630	374	605	655	349	399
#F9F1F0	930	674	905	955	649	699
#F6ECEA	980	724	955	1005	699	749
#CFC9E5	730	474	705	755	449	499
#B4ABD6	830	574	805	855	549	599
#F3F1F8	1030	774	1005	1055	749	799
#C1B9DD	1130	874	1105	1155	849	899
#DAD5EB	330	24	305	355	-1	49
#D3CDE7	380	74	355	405	49	99
#BBB3DA	430	124	405	455	99	149
#F1F0F8	480	174	455	505	149	199
#F4F3F9	530	224	505	555	199	249
#EDEAF5	580	274	555	605	249	299
#CEC7E4	630	324	605	655	299	349
#B5ACD6	680	374	655	705	349	399
#978DC6	730	424	705	755	399	449
#C1B9DD	780	474	755	805	449	499
#FCF8F7	830	524	805	855	499	549
#7D72B8	880	574	855	905	549	599
#DDD8EC	980	674	955	1005	649	699
#E4E0F0	1030	724	1005	1055	699	749
#EEEBF6	1130	824	1105	1155	799	849
#EDD8D5	930	624	905	955	599	649
#EAE7F4	1080	774	1055	1105	749	799
#A89ECF	380	24	355	405	-1	49
#F0EEF7	480	124	455	505	99	149
#F5E9E8	580	224	555	605	199	249
#CAC3E2	680	324	655	705	299	349
#FBF6F6	780	424	755	805	399	449
#F6F4FA	880	524	855	905	499	549
#EED8D5	980	624	955	1005	599	649
#E3DFF0	430	74	405	455	49	99
#FDFCFE	530	174	505	555	149	199
#EFDCD9	630	274	605	655	249	299
#C6BFE0	730	374	705	755	349	399
#E4C4C0	830	474	805	855	449	499
#E6E3F2	930	574	905	955	549	599
#DCB5B1	1080	724	1055	1105	699	749
#EAE6F3	1130	774	1105	1155	749	799
#C89089	1030	674	1005	1055	649	699
#ABA2D1	1180	824	1155	1205	799	849
#CDC6E4	430	24	405	455	-1	49
#DFDBEE	480	74	455	505	49	99
#FBF5F4	530	124	505	555	99	149
#F6EAE9	580	174	555	605	149	199
#D7ACA7	630	224	605	655	199	249
#D1A19B	680	274	655	705	249	299
#E1DDEF	730	324	705	755	299	349
#FEFDFE	780	374	755	805	349	399
#D5A7A1	830	424	805	855	399	449
#9B4842	880	474	855	905	449	499
#C3BBDE	930	524	905	955	499	549
#CB958F	980	574	955	1005	549	599
#D09F99	1030	624	1005	1055	599	649
#E7CBC8	1080	674	1055	1105	649	699
#E5C7C3	1130	724	1105	1155	699	749
#E6E2F1	1180	774	1155	1205	749	799
#F7ECEB	480	24	455	505	-1	49
#FBFBFD	580	124	555	605	99	149
#FDFAFA	680	224	655	705	199	249
#F9F8FC	880	424	855	905	399	449
#FFFFFF	1080	624	1055	1105	599	649
#B3AAD6	1180	724	1155	1205	699	749
#AEA5D3	530	74	505	555	49	99
#F6F5FA	630	174	605	655	149	199
#F1EEF7	730	274	705	755	249	299
#B2A9D5	780	324	755	805	299	349
#D9D4EA	830	374	805	855	349	399
#C9C2E2	930	474	905	955	449	499
#6D63B0	980	524	955	1005	499	549
#ECE9F5	1030	574	1005	1055	549	599
#FEFCFB	1130	674	1105	1155	649	699
#F7EDEC	1230	774	1205	1255	749	799
#BAB2D9	530	24	505	555	-1	49
#CBC4E3	580	74	555	605	49	99
#DAD5EB	630	124	605	655	99	149
#FAF9FC	680	174	655	705	149	199
#F9F8FC	730	224	705	755	199	249
#E4E1F1	780	274	755	805	249	299
#ACA3D2	830	324	805	855	299	349
#DFDAED	880	374	855	905	349	399
#F7EEEC	930	424	905	955	399	449
#5C54A8	980	474	955	1005	449	499
#E7CBC8	1030	524	1005	1055	499	549
#CDC6E4	1130	624	1105	1155	599	649
#BEB6DB	1180	674	1155	1205	649	699
#FCF9F8	1080	574	1055	1105	549	599
#E6E3F2	1230	724	1205	1255	699	749
#ECEAF5	580	24	555	605	-1	49
#E3DFF0	680	124	655	705	99	149
#F3F1F8	780	224	755	805	199	249
#E6E3F2	880	324	855	905	299	349
#D0CAE5	980	424	955	1005	399	449
#F1EFF8	1080	524	1055	1105	499	549
#EAE7F4	630	74	605	655	49	99
#EDEAF5	730	174	705	755	149	199
#F0EEF7	830	274	805	855	249	299
#ECD4D1	930	374	905	955	349	399
#8C81C0	1030	474	1005	1055	449	499
#F9F8FC	1130	574	1105	1155	549	599
#DED9ED	1180	624	1155	1205	599	649
#9A90C8	1230	674	1205	1255	649	699
#EAD1CE	1280	724	1255	1305	699	749
#CAC4E2	630	24	605	655	-1	49
#C1B9DD	680	74	655	705	49	99
#D5CFE8	730	124	705	755	99	149
#F3F1F8	780	174	755	805	149	199
