group	x	y	showSelected1
275	30	24	65
1	80	24	65
1	80	24	5
2	80	74	65
2	80	74	5
169	130	74	5
169	130	74	65
168	130	124	5
236	180	124	5
237	180	174	5
242	230	174	5
243	230	224	5
243	230	224	65
248	280	224	65
248	280	224	5
249	280	274	65
249	280	274	281
255	330	274	281
255	330	274	65
255	330	274	140
256	330	324	281
256	330	324	140
263	380	324	281
263	380	324	140
263	380	324	36
264	380	374	36
272	430	374	36
272	430	374	195
272	430	374	135
272	430	374	397
272	430	374	431
273	430	424	36
273	430	424	135
283	480	424	36
283	480	424	135
283	480	424	321
283	480	424	33
283	480	424	396
283	480	424	397
284	480	474	135
284	480	474	33
284	480	474	15
294	530	474	15
294	530	474	39
294	530	474	33
294	530	474	467
294	530	474	135
294	530	474	365
294	530	474	222
294	530	474	356
294	530	474	68
296	530	524	39
296	530	524	15
307	580	524	15
307	580	524	62
307	580	524	149
307	580	524	39
307	580	524	250
307	580	524	166
307	580	524	155
307	580	524	275
308	580	574	62
308	580	574	15
308	580	574	3
308	580	574	86
308	580	574	149
308	580	574	299
320	630	574	3
320	630	574	86
320	630	574	423
320	630	574	404
320	630	574	198
320	630	574	149
320	630	574	15
320	630	574	319
320	630	574	22
320	630	574	249
320	630	574	81
320	630	574	392
320	630	574	335
321	630	624	86
321	630	624	198
321	630	624	403
334	680	624	403
334	680	624	4
334	680	624	7
334	680	624	198
334	680	624	86
334	680	624	432
334	680	624	3
334	680	624	81
334	680	624	77
334	680	624	61
335	680	674	7
335	680	674	4
335	680	674	32
335	680	674	432
349	730	674	32
349	730	674	357
349	730	674	7
349	730	674	4
349	730	674	422
349	730	674	80
350	730	724	7
350	730	724	4
365	780	724	7
365	780	724	4
365	780	724	138
366	780	774	4
366	780	774	7
382	830	774	4
382	830	774	7
382	830	774	203
382	830	774	136
383	830	824	4
383	830	824	7
383	830	824	203
400	880	824	4
400	880	824	7
400	880	824	288
400	880	824	203
400	880	824	173
401	880	874	7
401	880	874	4
401	880	874	288
419	930	874	4
419	930	874	7
419	930	874	332
419	930	874	288
419	930	874	85
420	930	924	4
420	930	924	7
21	980	924	7
21	980	924	4
22	980	974	7
22	980	974	4
42	1030	974	7
42	1030	974	4
167	130	24	65
167	130	24	5
238	180	74	5
238	180	74	65
241	230	124	5
241	230	124	65
247	280	174	5
247	280	174	65
254	330	224	65
254	330	224	281
254	330	224	140
254	330	224	5
254	330	224	36
262	380	274	281
262	380	274	140
262	380	274	36
271	430	324	36
271	430	324	195
271	430	324	140
271	430	324	16
282	480	374	36
282	480	374	135
282	480	374	397
282	480	374	431
282	480	374	215
282	480	374	472
293	530	424	33
293	530	424	135
293	530	424	15
293	530	424	36
293	530	424	356
293	530	424	68
293	530	424	187
305	580	474	15
305	580	474	39
305	580	474	365
305	580	474	250
305	580	474	155
305	580	474	28
305	580	474	356
305	580	474	68
305	580	474	275
319	630	524	15
319	630	524	149
319	630	524	249
319	630	524	86
319	630	524	146
319	630	524	22
319	630	524	166
319	630	524	275
319	630	524	335
319	630	524	155
319	630	524	205
319	630	524	473
319	630	524	82
333	680	574	3
333	680	574	86
333	680	574	403
333	680	574	81
333	680	574	22
333	680	574	392
333	680	574	7
333	680	574	77
333	680	574	148
333	680	574	457
333	680	574	61
333	680	574	359
333	680	574	4
333	680	574	122
333	680	574	150
333	680	574	273
333	680	574	69
348	730	624	7
348	730	624	4
348	730	624	432
348	730	624	344
348	730	624	80
348	730	624	422
348	730	624	447
348	730	624	95
348	730	624	441
348	730	624	61
348	730	624	427
364	780	674	4
364	780	674	7
364	780	674	138
364	780	674	131
381	830	724	7
381	830	724	4
381	830	724	138
381	830	724	89
381	830	724	245
381	830	724	154
399	880	774	203
399	880	774	4
399	880	774	7
399	880	774	136
399	880	774	173
399	880	774	123
418	930	824	7
418	930	824	4
418	930	824	288
418	930	824	173
418	930	824	85
418	930	824	169
20	980	874	4
20	980	874	7
20	980	874	332
20	980	874	85
20	980	874	408
41	1030	924	4
41	1030	924	7
41	1030	924	464
235	180	24	5
235	180	24	65
246	280	124	5
246	280	124	65
261	380	224	140
261	380	224	281
261	380	224	36
261	380	224	65
281	480	324	36
281	480	324	195
281	480	324	431
281	480	324	16
304	580	424	68
304	580	424	356
304	580	424	15
304	580	424	271
304	580	424	28
304	580	424	194
304	580	424	187
304	580	424	78
332	680	524	22
332	680	524	473
332	680	524	268
332	680	524	69
332	680	524	82
332	680	524	273
332	680	524	241
332	680	524	24
332	680	524	430
363	780	624	7
363	780	624	4
363	780	624	80
363	780	624	441
363	780	624	95
363	780	624	224
363	780	624	427
363	780	624	105
363	780	624	131
363	780	624	286
363	780	624	336
363	780	624	385
363	780	624	451
244	230	74	5
244	230	74	65
253	330	174	5
253	330	174	65
253	330	174	281
253	330	174	36
270	430	274	140
