x	y	clickSelects	xmin	xmax	ymin	ymax
30	24	50,0	5	55	-1	49
80	24	100,0	55	105	-1	49
80	74	100,50	55	105	49	99
130	74	150,50	105	155	49	99
130	124	150,100	105	155	99	149
180	124	200,100	155	205	99	149
180	174	200,150	155	205	149	199
230	174	250,150	205	255	149	199
230	224	250,200	205	255	199	249
280	224	300,200	255	305	199	249
280	274	300,250	255	305	249	299
330	274	350,250	305	355	249	299
330	324	350,300	305	355	299	349
380	324	400,300	355	405	299	349
380	374	400,350	355	405	349	399
430	374	450,350	405	455	349	399
430	424	450,400	405	455	399	449
480	424	500,400	455	505	399	449
480	474	500,450	455	505	449	499
530	474	550,450	505	555	449	499
530	524	550,500	505	555	499	549
580	524	600,500	555	605	499	549
580	574	600,550	555	605	549	599
630	574	650,550	605	655	549	599
630	624	650,600	605	655	599	649
680	624	700,600	655	705	599	649
680	674	700,650	655	705	649	699
730	674	750,650	705	755	649	699
730	724	750,700	705	755	699	749
780	724	800,700	755	805	699	749
780	774	800,750	755	805	749	799
830	774	850,750	805	855	749	799
830	824	850,800	805	855	799	849
880	824	900,800	855	905	799	849
880	874	900,850	855	905	849	899
930	874	950,850	905	955	849	899
930	924	950,900	905	955	899	949
980	924	1000,900	955	1005	899	949
980	974	1000,950	955	1005	949	999
1030	974	1050,950	1005	1055	949	999
130	24	150,0	105	155	-1	49
180	74	200,50	155	205	49	99
230	124	250,100	205	255	99	149
280	174	300,150	255	305	149	199
330	224	350,200	305	355	199	249
380	274	400,250	355	405	249	299
430	324	450,300	405	455	299	349
480	374	500,350	455	505	349	399
530	424	550,400	505	555	399	449
580	474	600,450	555	605	449	499
630	524	650,500	605	655	499	549
680	574	700,550	655	705	549	599
730	624	750,600	705	755	599	649
780	674	800,650	755	805	649	699
830	724	850,700	805	855	699	749
880	774	900,750	855	905	749	799
930	824	950,800	905	955	799	849
980	874	1000,850	955	1005	849	899
1030	924	1050,900	1005	1055	899	949
180	24	200,0	155	205	-1	49
280	124	300,100	255	305	99	149
380	224	400,200	355	405	199	249
480	324	500,300	455	505	299	349
580	424	600,400	555	605	399	449
680	524	700,500	655	705	499	549
780	624	800,600	755	805	599	649
230	74	250,50	205	255	49	99
330	174	350,150	305	355	149	199
430	274	450,250	405	455	249	299
530	374	550,350	505	555	349	399
730	574	750,550	705	755	549	599
880	724	900,700	855	905	699	749
930	774	950,750	905	955	749	799
980	824	1000,800	955	1005	799	849
630	474	650,450	605	655	449	499
830	674	850,650	805	855	649	699
1030	874	1050,850	1005	1055	849	899
1080	924	1100,900	1055	1105	899	949
230	24	250,0	205	255	-1	49
280	74	300,50	255	305	49	99
330	124	350,100	305	355	99	149
380	174	400,150	355	405	149	199
430	224	450,200	405	455	199	249
480	274	500,250	455	505	249	299
580	374	600,350	555	605	349	399
630	424	650,400	605	655	399	449
680	474	700,450	655	705	449	499
730	524	750,500	705	755	499	549
780	574	800,550	755	805	549	599
830	624	850,600	805	855	599	649
930	724	950,700	905	955	699	749
980	774	1000,750	955	1005	749	799
1030	824	1050,800	1005	1055	799	849
1080	874	1100,850	1055	1105	849	899
530	324	550,300	505	555	299	349
880	674	900,650	855	905	649	699
280	24	300,0	255	305	-1	49
380	124	400,100	355	405	99	149
480	224	500,200	455	505	199	249
580	324	600,300	555	605	299	349
680	424	700,400	655	705	399	449
780	524	800,500	755	805	499	549
880	624	900,600	855	905	599	649
1080	824	1100,800	1055	1105	799	849
330	74	350,50	305	355	49	99
430	174	450,150	405	455	149	199
530	274	550,250	505	555	249	299
630	374	650,350	605	655	349	399
930	674	950,650	905	955	649	699
980	724	1000,700	955	1005	699	749
730	474	750,450	705	755	449	499
830	574	850,550	805	855	549	599
1030	774	1050,750	1005	1055	749	799
1130	874	1150,850	1105	1155	849	899
330	24	350,0	305	355	-1	49
380	74	400,50	355	405	49	99
430	124	450,100	405	455	99	149
480	174	500,150	455	505	149	199
530	224	550,200	505	555	199	249
580	274	600,250	555	605	249	299
630	324	650,300	605	655	299	349
680	374	700,350	655	705	349	399
730	424	750,400	705	755	399	449
780	474	800,450	755	805	449	499
830	524	850,500	805	855	499	549
880	574	900,550	855	905	549	599
980	674	1000,650	955	1005	649	699
1030	724	1050,700	1005	1055	699	749
1130	824	1150,800	1105	1155	799	849
930	624	950,600	905	955	599	649
1080	774	1100,750	1055	1105	749	799
380	24	400,0	355	405	-1	49
480	124	500,100	455	505	99	149
580	224	600,200	555	605	199	249
680	324	700,300	655	705	299	349
780	424	800,400	755	805	399	449
880	524	900,500	855	905	499	549
980	624	1000,600	955	1005	599	649
430	74	450,50	405	455	49	99
530	174	550,150	505	555	149	199
630	274	650,250	605	655	249	299
730	374	750,350	705	755	349	399
830	474	850,450	805	855	449	499
930	574	950,550	905	955	549	599
1080	724	1100,700	1055	1105	699	749
1130	774	1150,750	1105	1155	749	799
1030	674	1050,650	1005	1055	649	699
1180	824	1200,800	1155	1205	799	849
430	24	450,0	405	455	-1	49
480	74	500,50	455	505	49	99
530	124	550,100	505	555	99	149
580	174	600,150	555	605	149	199
630	224	650,200	605	655	199	249
680	274	700,250	655	705	249	299
730	324	750,300	705	755	299	349
780	374	800,350	755	805	349	399
830	424	850,400	805	855	399	449
880	474	900,450	855	905	449	499
930	524	950,500	905	955	499	549
