group	fill	clickSelects
1970	#FFFFFF	29
2021	#FFFFFF	29
2071	#FFFFFF	29
2072	#FFFFFF	29
2122	#FFFFFF	29
2123	#FFFFFF	29
2172	#FFFFFF	29
2173	#FFFFFF	29
2174	#FFFFFF	29
2223	#FFFFFF	29
2224	#FFFFFF	29
2225	#FFFFFF	29
2374	#FFFFFF	29
2375	#FFFFFF	29
2376	#FFFFFF	29
2387	#FFFFFF	29
2425	#FFFFFF	29
2426	#FFFFFF	29
2427	#FFFFFF	29
2475	#FFFFFF	29
2476	#FFFFFF	29
2477	#FFFFFF	29
2499	#FFFFFF	29
2526	#FFFFFF	29
2527	#FFFFFF	29
2528	#FFFFFF	29
2539	#FFFFFF	29
2576	#FFFFFF	29
2577	#FFFFFF	29
2578	#FFFFFF	29
2589	#FFFFFF	29
2600	#FFFFFF	29
2611	#FFFFFF	29
2627	#FFFFFF	29
2628	#FFFFFF	29
2629	#FFFFFF	29
2640	#FFFFFF	29
2651	#FFFFFF	29
2662	#FFFFFF	29
2677	#FFFFFF	29
2678	#FFFFFF	29
2679	#FFFFFF	29
2690	#FFFFFF	29
2701	#FFFFFF	29
2712	#FFFFFF	29
2723	#FFFFFF	29
2729	#FFFFFF	29
2730	#FFFFFF	29
2741	#FFFFFF	29
2752	#FFFFFF	29
2763	#FFFFFF	29
2778	#FFFFFF	29
2779	#FFFFFF	269
2780	#FFFFFF	29
2791	#FFFFFF	29
2802	#FFFFFF	29
2813	#FFFFFF	29
2824	#FFFFFF	29
2830	#FFFFFF	29
2831	#FFFFFF	29
2842	#FFFFFF	29
2853	#FFFFFF	29
2864	#FFFFFF	29
2874	#FFFFFF	29
2881	#FFFFFF	29
2903	#FFFFFF	29
2914	#FFFFFF	29
2925	#FFFFFF	29
2926	#FFFFFF	29
2927	#FFFFFF	29
2931	#FFFFFF	269
2932	#FFFFFF	29
2943	#FFFFFF	29
2954	#FFFFFF	29
2965	#FFFFFF	29
2976	#FFFFFF	29
2977	#FFFFFF	29
2980	#FFFFFF	269
2982	#FFFFFF	29
2993	#FFFFFF	29
3004	#FFFFFF	29
3015	#FFFFFF	29
3028	#FFFFFF	29
3029	#FFFFFF	29
3031	#FFFFFF	269
3033	#FFFFFF	29
3044	#FFFFFF	29
3055	#FFFFFF	29
3076	#FFFFFF	269
3077	#FFFFFF	29
3078	#FFFFFF	29
3079	#FFFFFF	29
3081	#FFFFFF	29
3082	#FFFFFF	29
3083	#FFFFFF	29
3094	#FFFFFF	29
3105	#FFFFFF	29
3127	#FFFFFF	269
3128	#FFFFFF	29
3129	#FFFFFF	29
3130	#FFFFFF	29
3131	#FFFFFF	29
3132	#FFFFFF	29
3133	#FFFFFF	269
3134	#FFFFFF	29
3145	#FFFFFF	29
3167	#FFFFFF	269
3177	#FFFFFF	29
3178	#FFFFFF	29
3179	#FFFFFF	29
3180	#FFFFFF	29
3182	#FFFFFF	269
3184	#FFFFFF	269
3185	#FFFFFF	29
3228	#FFFFFF	29
3229	#FFFFFF	29
3230	#FFFFFF	29
3231	#FFFFFF	29
3232	#FFFFFF	29
3233	#FFFFFF	269
3234	#FFFFFF	29
3236	#FFFFFF	29
3257	#FFFFFF	269
3268	#FFFFFF	29
3278	#FFFFFF	29
3279	#FFFFFF	29
3280	#FFFFFF	29
3281	#FFFFFF	29
3282	#FFFFFF	29
3283	#FFFFFF	269
3284	#FFFFFF	29
3285	#FFFFFF	29
3286	#FFFFFF	29
3287	#FFFFFF	29
3318	#FFFFFF	269
3329	#FFFFFF	29
3330	#FFFFFF	29
3331	#FFFFFF	29
3332	#FFFFFF	29
3333	#FFFFFF	29
3334	#FFFFFF	29
3335	#FFFFFF	29
3336	#FFFFFF	29
3337	#FFFFFF	29
3338	#FFFFFF	29
3358	#FFFFFF	29
3369	#FFFFFF	29
3379	#FFFFFF	29
3380	#FFFFFF	29
3382	#FFFFFF	29
3383	#FFFFFF	29
3485	#FFFFFF	29
3486	#FFFFFF	269
3489	#FFFFFF	29
3490	#FFFFFF	29
3520	#FFFFFF	29
3532	#FFFFFF	29
3533	#FFFFFF	29
3534	#FFFFFF	29
3535	#FFFFFF	29
3539	#FFFFFF	29
3540	#FFFFFF	29
3541	#FFFFFF	29
3560	#FFFFFF	29
3571	#FFFFFF	29
3581	#FFFFFF	29
3582	#FFFFFF	29
3583	#FFFFFF	29
3584	#FFFFFF	29
3585	#FFFFFF	29
3586	#FFFFFF	29
3589	#FFFFFF	29
3590	#FFFFFF	29
3591	#FFFFFF	29
3592	#FFFFFF	29
3599	#FFFFFF	269
3621	#FFFFFF	29
3632	#FFFFFF	29
3634	#FFFFFF	29
3635	#FFFFFF	29
3636	#FFFFFF	29
3639	#FFFFFF	269
3641	#FFFFFF	29
3642	#FFFFFF	29
3643	#FFFFFF	29
3650	#FFFFFF	269
3661	#FFFFFF	29
3672	#FFFFFF	269
3682	#FFFFFF	269
3683	#FFFFFF	29
3684	#FFFFFF	29
3685	#FFFFFF	29
3686	#FFFFFF	29
3690	#FFFFFF	29
3691	#FFFFFF	29
3692	#FFFFFF	29
3693	#FFFFFF	29
3694	#FFFFFF	29
3700	#FFFFFF	269
3711	#FFFFFF	29
3722	#FFFFFF	29
3733	#FFFFFF	269
3734	#FFFFFF	29
3735	#FFFFFF	29
3736	#FFFFFF	29
3737	#FFFFFF	29
3739	#FFFFFF	29
3741	#FFFFFF	29
3742	#FFFFFF	29
3743	#FFFFFF	29
3744	#FFFFFF	29
3745	#FFFFFF	29
3751	#FFFFFF	269
3762	#FFFFFF	29
3773	#FFFFFF	269
3783	#FFFFFF	269
3784	#FFFFFF	29
3785	#FFFFFF	29
3786	#FFFFFF	29
3787	#FFFFFF	29
3790	#FFFFFF	269
3791	#FFFFFF	29
3792	#FFFFFF	29
3793	#FFFFFF	29
3794	#FFFFFF	29
3795	#FFFFFF	29
3796	#FFFFFF	29
3812	#FFFFFF	269
3823	#FFFFFF	269
3834	#FFFFFF	269
3835	#FFFFFF	29
3836	#FFFFFF	29
3837	#FFFFFF	29
3838	#FFFFFF	29
3839	#FFFFFF	29
3840	#FFFFFF	269
3841	#FFFFFF	29
3842	#FFFFFF	29
3843	#FFFFFF	29
3844	#FFFFFF	29
3845	#FFFFFF	29
3846	#FFFFFF	29
3847	#FFFFFF	29
3863	#FFFFFF	269
3874	#FFFFFF	269
3884	#FFFFFF	29
3885	#FFFFFF	29
3886	#FFFFFF	29
3887	#FFFFFF	29
