xmin	xmax	ymin	ymax	showSelected1	row_in_group	na_group
-15.45	-14.55	-0.0435729847494553	0	50,0	5	4
-8.45	-7.55	-0.0924453865630336	0	50,0	12	10
-7.45	-6.55	-0.452216922805158	0	50,0	13	10
-6.45	-5.55	-2.18807042336454	0	50,0	14	10
-5.45	-4.55	-0.704822469528352	0	50,0	15	10
-4.45	-3.55	-1.16292763351587	0	50,0	16	10
-2.45	-1.55	-3.7873167284932	0	50,0	18	11
-1.45	-0.55	0	0	50,0	19	11
0.55	1.45	-0.388623918035683	0	50,0	21	12
1.55	2.45	-0.0771359594889007	0	50,0	22	12
-41.45	-40.55	-0.269681446152034	0	100,0	29	18
-38.45	-37.55	-1.9166225048578	0	100,0	32	20
-37.45	-36.55	-0.874992639698522	0	100,0	33	20
-36.45	-35.55	-1.43967496908673	0	100,0	34	20
-35.45	-34.55	-1.17470411588059	0	100,0	35	20
-31.45	-30.55	-0.252605546723194	0	100,0	39	23
-30.45	-29.55	-0.193723134899605	0	100,0	40	23
-29.45	-28.55	-0.186068421362539	0	100,0	41	23
-28.45	-27.55	-1.66048401342519	0	100,0	42	23
-27.45	-26.55	-0.394512159218042	0	100,0	43	23
-26.45	-25.55	-2.16157333804393	0	100,0	44	23
-24.45	-23.55	-0.459871636342225	0	100,0	46	24
-22.45	-21.55	-0.206677265500795	0	100,0	48	25
-17.45	-16.55	-0.304422069127952	0	100,0	53	29
-12.45	-11.55	-0.0376847435670965	0	100,0	58	33
-5.45	-4.55	-0.065359477124183	0	100,0	65	39
-4.45	-3.55	-2.9800388623918	0	100,0	66	39
-3.45	-2.55	-1.98021550962727	0	100,0	67	39
-2.45	-1.55	-1.18765824648178	0	100,0	68	39
-0.45	0.45	-1.20002355296473	0	100,0	70	40
0.55	1.45	-2.41830065359477	0	100,0	71	40
1.55	2.45	-0.663015957133604	0	100,0	72	40
2.55	3.45	-0.0989224518636283	0	100,0	73	40
3.55	4.45	-0.317965023847377	0	100,0	74	40
4.55	5.45	-0.908555614437967	0	100,0	75	40
-41.45	-40.55	-0.269681446152034	0	100,50	80	44
-38.45	-37.55	-1.9166225048578	0	100,50	83	46
-37.45	-36.55	-0.874992639698522	0	100,50	84	46
-36.45	-35.55	-1.43967496908673	0	100,50	85	46
-35.45	-34.55	-1.17470411588059	0	100,50	86	46
-31.45	-30.55	-0.252605546723194	0	100,50	90	49
-30.45	-29.55	-0.193723134899605	0	100,50	91	49
-29.45	-28.55	-0.186068421362539	0	100,50	92	49
-28.45	-27.55	-1.66048401342519	0	100,50	93	49
-27.45	-26.55	-0.394512159218042	0	100,50	94	49
-26.45	-25.55	-2.16157333804393	0	100,50	95	49
-24.45	-23.55	-0.459871636342225	0	100,50	97	50
-22.45	-21.55	-0.206677265500795	0	100,50	99	51
-17.45	-16.55	-0.304422069127952	0	100,50	104	55
-12.45	-11.55	-0.0376847435670965	0	100,50	109	59
-5.45	-4.55	-0.065359477124183	0	100,50	116	65
-4.45	-3.55	-2.9800388623918	0	100,50	117	65
-3.45	-2.55	-1.98021550962727	0	100,50	118	65
-2.45	-1.55	-1.18765824648178	0	100,50	119	65
-0.45	0.45	-1.20002355296473	0	100,50	121	66
0.55	1.45	-2.41830065359477	0	100,50	122	66
1.55	2.45	-0.663015957133604	0	100,50	123	66
2.55	3.45	-0.0989224518636283	0	100,50	124	66
3.55	4.45	-0.317965023847377	0	100,50	125	66
4.55	5.45	-0.908555614437967	0	100,50	126	66
-42.45	-41.55	-0.226108461402579	0	150,50	129	68
-39.45	-38.55	-0.498145204027557	0	150,50	132	70
-38.45	-37.55	-0.065359477124183	0	150,50	133	70
-37.45	-36.55	-0.395100983336277	0	150,50	134	70
-35.45	-34.55	-0.0618265324147677	0	150,50	136	71
-34.45	-33.55	-0.315020903256197	0	150,50	137	71
-33.45	-32.55	-0.885002649708532	0	150,50	138	71
-29.45	-28.55	-0.0895012659718542	0	150,50	142	74
-23.45	-22.55	-0.080668904198316	0	150,50	148	79
-21.45	-20.55	-1.62103279750339	0	150,50	150	80
-20.45	-19.55	-0.0594712359418242	0	150,50	151	80
