group	label	showSelected1
1	Cluster 7: 1267/82390 pixels shown, logFC -4.2 to 4.2, log10(p) 0.0 to 2.0	7
1	Cluster 61: 1182/9238 pixels shown, logFC -4.0 to 3.9, log10(p) 0.0 to 1.7	61
1	Cluster 95: 169/1461 pixels shown, logFC -3.8 to 3.9, log10(p) 0.0 to 1.7	95
1	Cluster 105: 263/2159 pixels shown, logFC -3.8 to 3.9, log10(p) 0.0 to 1.7	105
1	Cluster 181: 242/242 pixels shown, logFC -4.2 to 3.3, log10(p) 0.0 to 2.0	181
1	Cluster 262: 57/57 pixels shown, logFC -3.5 to 2.8, log10(p) 0.0 to 1.2	262
1	Cluster 286: 35/153 pixels shown, logFC -3.1 to 3.6, log10(p) 0.0 to 1.4	286
1	Cluster 336: 208/282 pixels shown, logFC -3.1 to 2.8, log10(p) 0.0 to 0.9	336
1	Cluster 427: 1/109 pixels shown, logFC -3.5 to 3.3, log10(p) 0.0 to 1.2	427
1	Cluster 451: 44/93 pixels shown, logFC -3.5 to 2.8, log10(p) 0.0 to 1.2	451
